task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	48/ca0f19	13124130_4	B2BTOOLS (CK_00051364)	CACHED	0	2026-09-02 12:59:30.162	2m 56s	2m 30s	-	-	-	-	-
38	a5/2a4504	1674940	IPC (CK_00001263)	CACHED	0	2026-09-02 13:00:02.069	7.9s	7.5s	-	-	-	-	-
36	9b/729176	1683288	IPC (CK_00000011)	CACHED	0	2026-09-02 13:00:14.069	8.1s	7.9s	-	-	-	-	-
42	b2/e9685f	1669436	IPC (CK_00001561)	CACHED	0	2026-09-02 12:59:58.069	8.4s	7.3s	-	-	-	-	-
24	ee/6b3612	13124129_0	AIUPRED (CK_00001102)	CACHED	0	2026-09-02 12:59:28.167	58s	30s	-	-	-	-	-
41	7d/b2e0db	1666184	DSSP (CK_00001561)	CACHED	0	2026-09-02 12:59:56.069	9.1s	8.6s	-	-	-	-	-
31	43/475652	13124130_2	B2BTOOLS (CK_00001102)	CACHED	0	2026-09-02 12:59:30.162	2m 56s	2m 30s	-	-	-	-	-
27	e3/54fb71	13124129_1	AIUPRED (CK_00001561)	CACHED	0	2026-09-02 12:59:28.167	28s	2ms	-	-	-	-	-
9	43/ca689e	13124130_3	B2BTOOLS (CK_00001282)	CACHED	0	2026-09-02 12:59:30.162	2m 26s	2m	-	-	-	-	-
13	81/0cc825	1653542	DSSP (CK_00001282)	CACHED	0	2026-09-02 12:59:42.070	9.9s	9.6s	-	-	-	-	-
6	9e/5b3a98	1650417	ALIGN_AA (CK_00000055)	CACHED	0	2026-09-02 12:59:38.069	6.4s	6.2s	-	-	-	-	-
7	59/8cfd9f	1654259	ALIGN_AA (CK_00051364)	CACHED	0	2026-09-02 12:59:50.076	5.3s	3.4s	-	-	-	-	-
29	85/3c39d8	13124130_6	B2BTOOLS (CK_00000055)	CACHED	0	2026-09-02 12:59:30.162	3m 26s	3m	-	-	-	-	-
